magnet_depth,magnet_angle,angle_margin,irms,degel,degmech,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.1,0.2,0.0,0,22.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,1.167381322802835e-06,-0.0005073617713477626,0.0002538457348372062,0.0002539936741649904
0.1,0.1,0.2,0.0,0,24.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.0006317413814030135,-0.0005071654943779422,0.0003348013316180214,0.0001728428361316114
0.1,0.1,0.2,0.0,0,27.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.01028047106897485,-0.0005036526200226266,0.0004103949874403526,9.370130276232274e-05
0.1,0.1,0.2,0.0,0,29.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.005582909271417772,-0.0004859522454647559,0.0004636500392799718,2.246566555725771e-05
0.1,0.1,0.2,0.0,0,31.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.01018394388197533,-0.0004489535091494676,0.0004939165228333807,-4.525290844021476e-05
0.1,0.1,0.2,0.0,0,33.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.005942998877261021,-0.0003868182715050993,0.0005058205811350933,-0.0001194665951224024
0.1,0.1,0.2,0.0,0,36.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.000107200957160498,-0.0003080115843380764,0.000507340702541269,-0.0001998048535873347
0.1,0.1,0.2,0.0,0,38.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,-1.762116264716545e-05,-0.0002268490119947885,0.000507389818294524,-0.0002810173801694599
0.1,0.1,0.2,0.0,0,40.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.002286749082357728,-0.0001459386622886561,0.0005068101253755524,-0.0003613488848370546
0.1,0.1,0.2,0.0,0,42.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.01226814513863236,-6.89218505651503e-05,0.000499821799012854,-0.0004312876947215793
0.1,0.1,0.2,0.0,0,45.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,-3.349886992206494e-05,-2.270686017997472e-08,0.0004759396332506908,-0.0004759085458031612
0.1,0.1,0.2,0.0,0,47.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.01218242666549438,6.887984669663605e-05,0.000431326930179942,-0.0004998023843448332
0.1,0.1,0.2,0.0,0,49.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.002372044956170257,0.0001458910266455399,0.0003614153176954362,-0.0005068119817221742
0.1,0.1,0.2,0.0,0,51.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,2.262663625999307e-05,0.0002268008521503353,0.000281086602022431,-0.0005073938896405575
0.1,0.1,0.2,0.0,0,54.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.0001278597171748792,0.0003079656843494418,0.0001998699314702606,-0.0005073429101758638
0.1,0.1,0.2,0.0,0,56.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.00590168806208303,0.000386777309357864,0.0001195294643965792,-0.0005058257613411161
0.1,0.1,0.2,0.0,0,58.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.01019589048447925,0.000448934583181886,4.531399030907265e-05,-0.000493945273590687
0.1,0.1,0.2,0.0,0,60.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.005543785380864892,0.0004859307880688774,-2.238392255141576e-05,-0.0004637045092474992
0.1,0.1,0.2,0.0,0,63.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.010338406134168,0.0005036535566723021,-9.359954809054089e-05,-0.0004104967477083387
0.1,0.1,0.2,0.0,0,65.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,-0.0006085159816179309,0.0005071826672924083,-0.0001727341816440389,-0.0003349272259440667
0.1,0.1,0.2,0.0,0,67.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,3.770900251498257e-06,0.0005073772210068962,-0.0002538822301336198,-0.0002539725870373271
0.1,0.1,0.2,16.970562748477143,0,22.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,-1.095898597541822e-05,0.0004140022047581346,-0.0002068803818954262,-0.0002064110782535462
0.1,0.1,0.2,16.970562748477143,0,24.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.003716728573889814,0.0004142137107378303,-0.0001170088043119639,-0.0002965078589305617
0.1,0.1,0.2,16.970562748477143,0,27.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.03725908853621784,0.0004183409977136742,-3.467509905473934e-05,-0.0003830805712243736
0.1,0.1,0.2,16.970562748477143,0,29.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.0829048759987262,0.0004379118989874115,2.200266160777086e-05,-0.0004597553696334585
0.1,0.1,0.2,16.970562748477143,0,31.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1232050213756034,0.0004777570016636797,5.219275007194582e-05,-0.0005303850431441652
0.1,0.1,0.2,16.970562748477143,0,33.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1947309665044347,0.0005436774354278117,6.012983779769363e-05,-0.000604506244597741
0.1,0.1,0.2,16.970562748477143,0,36.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.2193652516720678,0.0006276421748910359,5.419447342554918e-05,-0.0006825515068024691
0.1,0.1,0.2,16.970562748477143,0,38.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.2215911779589518,0.0007161250969883063,4.448617877806966e-05,-0.0007612675898694905
0.1,0.1,0.2,16.970562748477143,0,40.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.2243805334243631,0.0008068281662479049,3.407618446438877e-05,-0.0008414964572335879
0.1,0.1,0.2,16.970562748477143,0,42.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.2148892675725387,0.0008955955004078948,1.984938769640039e-05,-0.0009159061333287147
0.1,0.1,0.2,16.970562748477143,0,45.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1813455864868119,0.0009739564688320383,-8.44772294495934e-06,-0.0009655133201335617
0.1,0.1,0.2,16.970562748477143,0,47.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1729713999172264,0.001045694146622409,-5.399695716508424e-05,-0.0009912275064085636
0.1,0.1,0.2,16.970562748477143,0,49.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1922492452447115,0.001116957927527567,-0.0001222390065305308,-0.0009941022831334862
0.1,0.1,0.2,16.970562748477143,0,51.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1910842680444493,0.001185548894502841,-0.0002001918568333022,-0.0009847425469012064
0.1,0.1,0.2,16.970562748477143,0,54.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1897231757797404,0.001251588016444109,-0.0002789675889904965,-0.0009720605322874217
0.1,0.1,0.2,16.970562748477143,0,56.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1882178076477189,0.001318984156590738,-0.0003598348680019714,-0.0009586416304505356
0.1,0.1,0.2,16.970562748477143,0,58.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.1347325056863415,0.001379208069211809,-0.0004386376354208819,-0.0009402358490755565
0.1,0.1,0.2,16.970562748477143,0,60.75,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.06634417892948968,0.00142032106318813,-0.000510647553709061,-0.0009097670405917636
0.1,0.1,0.2,16.970562748477143,0,63.0,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.01263676484678288,0.001443313591000134,-0.0005827121912273411,-0.0008609643511708312
0.1,0.1,0.2,16.970562748477143,0,65.25,6.186723189482315,0.1,0.1,2.474689275792943e-06,0.0008583208328834575,0.001448768788268841,-0.0006548661535355819,-0.0007942998587830722
0.1,0.1,0.2,16.970562748477143,0,67.5,6.186723189482315,0.1,0.1,2.474689275792943e-06,8.873247857615842e-06,0.001449014822039228,-0.0007246344294643045,-0.0007247791999286482
0.1,6.753333333333333,0.2,0.0,0,22.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-2.87848548699264e-05,-0.0005035386836308839,0.0002519109091357065,0.0002521234689763729
0.1,6.753333333333333,0.2,0.0,0,24.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.0004604267764775281,-0.0005034490637491574,0.0003324521417843646,0.0001714943518227967
0.1,6.753333333333333,0.2,0.0,0,27.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.01006047274534652,-0.0005002731913759961,0.0004079508275793695,9.278620722134919e-05
0.1,6.753333333333333,0.2,0.0,0,29.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.005477783057069413,-0.0004827863975009899,0.000460717101033064,2.223619981477494e-05
0.1,6.753333333333333,0.2,0.0,0,31.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.01002243367979935,-0.0004463285372271953,0.0004906675888590086,-4.465083859293927e-05
0.1,6.753333333333333,0.2,0.0,0,33.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.005633298643525054,-0.0003845877993002113,0.0005023719109785538,-0.0001182742545294245
0.1,6.753333333333333,0.2,0.0,0,36.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-3.30036902756524e-05,-0.0003059782253133527,0.0005036292896030299,-0.0001981506020831339
0.1,6.753333333333333,0.2,0.0,0,38.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-2.016217312202394e-05,-0.0002253069440527918,0.0005036477025669073,-0.0002788409680570019
0.1,6.753333333333333,0.2,0.0,0,40.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.002028909524555764,-0.00014488699651012,0.0005032458464369692,-0.0003588612945516624
0.1,6.753333333333333,0.2,0.0,0,42.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.01209526232474758,-6.835750099989371e-05,0.0004965301681922002,-0.0004285891190188719
0.1,6.753333333333333,0.2,0.0,0,45.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-8.006181681422732e-06,-1.475036194129747e-07,0.0004728533791685261,-0.0004727244818429564
0.1,6.753333333333333,0.2,0.0,0,47.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.01202073448109495,6.802707834698171e-05,0.0004287728380031638,-0.0004964163947772524
0.1,6.753333333333333,0.2,0.0,0,49.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.002077668793523109,0.0001445383927322223,0.0003590996550456665,-0.0005031659646442737
0.1,6.753333333333333,0.2,0.0,0,51.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,4.079210953967939e-05,0.0002249572585557556,0.0002790779663452175,-0.0005035652291900295
0.1,6.753333333333333,0.2,0.0,0,54.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,1.564910674364959e-05,0.0003056357315185995,0.0001983856075163888,-0.0005035519678123494
0.1,6.753333333333333,0.2,0.0,0,56.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.005528342297980925,0.0003842864117654831,0.0001184921454720436,-0.000502318298170336
0.1,6.753333333333333,0.2,0.0,0,58.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.01010247093323151,0.0004461866581648515,4.481565397043825e-05,-0.000490716046016089
0.1,6.753333333333333,0.2,0.0,0,60.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.005428298363411013,0.0004827917093934037,-2.214135514432364e-05,-0.0004608286815467715
0.1,6.753333333333333,0.2,0.0,0,63.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.01009747787625505,0.0005003522021724173,-9.269023294636262e-05,-0.0004081266510109163
0.1,6.753333333333333,0.2,0.0,0,65.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-0.0004435952041313737,0.0005035730424265007,-0.000171376058135537,-0.0003326946707832326
0.1,6.753333333333333,0.2,0.0,0,67.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-2.400900165720563e-05,0.0005036732425060034,-0.0002520071379549879,-0.0002521621140162641
0.1,6.753333333333333,0.2,16.970562748477143,0,22.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-5.213489350887405e-05,0.0004239852476537167,-0.0002116821925944991,-0.0002114660232265076
0.1,6.753333333333333,0.2,16.970562748477143,0,24.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.002981238756329994,0.0004246455894454921,-0.0001199391715515317,-0.0003038814700914868
0.1,6.753333333333333,0.2,16.970562748477143,0,27.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.0376217221930108,0.0004307355521734093,-3.630178434156266e-05,-0.0003937182318981785
0.1,6.753333333333333,0.2,16.970562748477143,0,29.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.08572461341317208,0.0004549689827354042,2.012911305608437e-05,-0.0004748231397941114
0.1,6.753333333333333,0.2,16.970562748477143,0,31.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1282063502175262,0.0005014101024532821,4.944409185211806e-05,-0.0005511883367350047
0.1,6.753333333333333,0.2,16.970562748477143,0,33.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.2035734773422883,0.0005753945577719042,5.611779095841608e-05,-0.0006320983852791497
0.1,6.753333333333333,0.2,16.970562748477143,0,36.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.2267658238802181,0.0006680601894532885,4.804877123591081e-05,-0.0007167024953434303
0.1,6.753333333333333,0.2,16.970562748477143,0,38.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.2238661583624242,0.0007617252678459516,3.656087291594695e-05,-0.0007988552871967294
0.1,6.753333333333333,0.2,16.970562748477143,0,40.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.2193074545041664,0.0008522752352579457,2.410169175770374e-05,-0.0008769145530406684
0.1,6.753333333333333,0.2,16.970562748477143,0,42.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.20572913957844,0.0009359132986071288,6.328911428394968e-06,-0.0009426477142953344
