magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,irms,degel,degmech,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
5,0.25,-20.0,-45.0,A,True,0.0,0,22.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.0007133081094694,-0.0025601256906106,0.0012847522057554,0.0012854891248599
5,0.25,-20.0,-45.0,A,True,0.0,0,27.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.3394856639671871,-0.0024145995988212,0.0018243033735662,0.0005951962733011
5,0.25,-20.0,-45.0,A,True,0.0,0,31.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.2073332751349312,-0.0019952307156944,0.0023014500683195,-0.0003081511904557
5,0.25,-20.0,-45.0,A,True,0.0,0,36.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.2351720389155645,-0.0014732084450875,0.0025434559838746,-0.0010795767236965
5,0.25,-20.0,-45.0,A,True,0.0,0,40.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.3498400455257655,-0.0008517038742555,0.0024957106122501,-0.0016515053462963
5,0.25,-20.0,-45.0,A,True,0.0,0,45.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.0002799040591162,-2.09998252729323e-07,0.0021581627935493,-0.0021579433111858
5,0.25,-20.0,-45.0,A,True,0.0,0,49.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.3493251983345629,0.0008514011915033,0.0016518191490337,-0.0024957070227606
5,0.25,-20.0,-45.0,A,True,0.0,0,54.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.2352073159777809,0.0014732846739948,0.0010796088446643,-0.0025435475347244
5,0.25,-20.0,-45.0,A,True,0.0,0,58.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.2073207791274419,0.0019953246248001,0.0003080388988647,-0.0023014227116647
5,0.25,-20.0,-45.0,A,True,0.0,0,63.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.3394961998417391,0.0024144861265492,-0.000595139487355,-0.0018242408331025
5,0.25,-20.0,-45.0,A,True,0.0,0,67.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,8.494759109258316e-05,0.002560030003139,-0.0012853102975258,-0.0012848260264197
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,22.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,-0.0003743625604077,-0.0022536579134977,0.0011261848806153,0.0011269728880426
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,27.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.1125081569106012,-0.002048496611429,0.0016314064764855,0.0004165781473545
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,31.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.8478979072829906,-0.0015716410321606,0.0020938158985518,-0.0005224303838412
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,36.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.9292130891944392,-0.0010793471400544,0.0023924795039814,-0.0013151521100895
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,40.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.5776093184370846,-0.0004717943758605,0.002340451257106,-0.001869179596568
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,45.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,1.210762755165883,0.0003809638411733,0.0019540185930093,-0.0023309330964066
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,49.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,1.283568634943398,0.0012352134772371,0.001408936710264,-0.0026286258906648
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,54.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.4793846880799061,0.0018485371234237,0.0008459559099905,-0.0026767845252054
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,58.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.4324675503100926,0.0023659594827451,0.0001123530423512,-0.002475782686177
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,63.0,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.6662559209008142,0.0027017361970339,-0.0007363313792677,-0.0019884377697209
5,0.25,-20.0,-45.0,A,True,16.970562748477143,0,67.5,0.0062096503007499,0.49379034969925,-20.0,-45.0,0.0001068153044548,0.000331832296349,0.002799016226533,-0.0014159640109806,-0.0014154837205376
5,0.25,-20.0,-39.0,A,True,0.0,0,22.5,0.0062096503007499,0.49379034969925,-20.0,-39.0,0.0001068153044548,-0.0007971287339413,-0.0026168578179057,0.0013151437565505,0.0013159333948417
5,0.25,-20.0,-39.0,A,True,0.0,0,27.0,0.0062096503007499,0.49379034969925,-20.0,-39.0,0.0001068153044548,-0.3197808971534288,-0.0024712711014283,0.0018747809017247,0.0006035889621773
5,0.25,-20.0,-39.0,A,True,0.0,0,31.5,0.0062096503007499,0.49379034969925,-20.0,-39.0,0.0001068153044548,0.1900969602620245,-0.002050151220035,0.0023585714377281,-0.0003115673673622
