degmech,irms,degel,magnet_depth,magnet_angle,angle_margin,i,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.0001579682591016673,-2.231500457553761e-07,-0.002190353675143357,0.002190555956927468
0.20044543429844097,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.02288602885291902,-3.244803275798103e-05,-0.002174109606208249,0.002206190140343167
0.40089086859688194,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.04588994460017167,-6.469337792912083e-05,-0.002157187869917392,0.002221165436672505
0.6013363028953229,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.06877010087433545,-9.698870359757484e-05,-0.002139512988639741,0.002235437225224275
0.8017817371937639,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.09144962973460807,-0.0001293105829720939,-0.00212107708597947,0.002248975042747891
1.0022271714922049,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1138145457229389,-0.000161626497563795,-0.002101920411167875,0.002261782446479775
1.2026726057906458,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1357000116325852,-0.0001939023142278736,-0.002082104474313131,0.002273882518739537
1.4031180400890868,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1568521114637868,-0.0002261314918477219,-0.002061698492274015,0.002285338064165947
1.6035634743875278,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1769239504253748,-0.0002583489316075568,-0.002040743187789386,0.002296231552686066
1.8040089086859687,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1955708618095019,-0.0002905865235210018,-0.002019266733187129,0.002306629118880419
2.0044543429844097,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2124857254091502,-0.0003228525049070061,-0.001997280994546749,0.002316552501873142
2.2048997772828507,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2274317555340048,-0.0003551466987024233,-0.001974788626186528,0.002326003340418639
3.0066815144766146,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2655951404017241,-0.0004845881140486789,-0.001880155363532756,0.002359428914853518
3.2071269487750556,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2698304990866893,-0.0005170214557372066,-0.001855455016023934,0.002366812375491414
2.6057906458797326,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2508625414899066,-0.0004198265245433324,-0.001928336886607063,0.002343541859764307
2.4053452115812917,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2402436153603616,-0.0003874737356408999,-0.001951796452224954,0.002334992336052382
2.8062360801781736,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2592978038425762,-0.0004521965185217323,-0.001904449545809079,0.002351679429442457
4.008908685968819,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2674853874487038,-0.0006477321373930809,-0.001752671388896674,0.002393406735162739
4.20935412026726,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.262398301700591,-0.0006807400604489939,-0.001725993881655178,0.002399436194172124
3.4075723830734965,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2720683279267985,-0.0005495277680478489,-0.001830352376391612,0.002373869100020876
4.409799554565701,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2556022924527585,-0.0007138921882843925,-0.001698922513050618,0.002405233114558575
3.6080178173719375,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2723768563347603,-0.0005821361978155014,-0.001804851778017523,0.002380637022710079
4.610244988864142,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2471405503002671,-0.0007471818329465406,-0.001671449674268249,0.002410783337200318
3.8084632516703785,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2708305114440675,-0.0006148666715845957,-0.001778957405095312,0.002387143629599638
4.810690423162583,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2370719293235715,-0.0007805957939638369,-0.001643565631794571,0.002416063112396942
5.011135857461024,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2254412053507797,-0.000814117562671795,-0.001615263130866088,0.002421048144451755
5.211581291759465,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.2123329619376952,-0.0008477290692215965,-0.001586537669987219,0.002425715581355608
5.412026726057906,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1978460973387136,-0.000881413937433698,-0.00155738739274914,0.002430047070594662
5.612472160356347,0,0,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,-0.1821002280872191,-0.0009151516473932514,-0.001527814156405661,0.002434024189978467
