degel,degmech,irms,magnet_depth,magnet_angle,angle_margin,i,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,45.0,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.9213942194638396,0.0007542907911047641,0.001784426235174283,-0.002528788165109484
0.8017817371937639,45.200445434298445,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.9006222611242979,0.0007863288847137295,0.001757292763424538,-0.002533359148480595
1.6035634743875278,45.40089086859688,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8802605627330958,0.0008183158227349394,0.001729692444814901,-0.002537432851734906
2.4053452115812917,45.60133630289532,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8603052555072241,0.0008502523917744548,0.001701638118527692,-0.002541023175241023
3.2071269487750556,45.801781737193764,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8408022020960803,0.0008821414528136278,0.001673139328520461,-0.00254414327006775
4.008908685968819,46.00222717149221,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8218492792441491,0.0009139702028820743,0.001644220389716667,-0.002546805327019553
4.810690423162583,46.202672605790646,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8036251953624316,0.0009457376851380398,0.001614894047513798,-0.002549021548740623
5.612472160356347,46.40311804008908,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7863663795941949,0.0009774454288124144,0.001585171676862711,-0.002550804812836825
6.414253897550111,46.60356347438753,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7703650332496462,0.001009084838793416,0.001555076247458721,-0.002552169248626536
7.216035634743875,46.80400890868597,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7559307892632869,0.001040645804287536,0.00152463347401178,-0.002553130328565946
8.017817371937639,47.00445434298441,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7433617129185817,0.001072112397599692,0.001493876477295608,-0.00255370524017991
8.819599109131403,47.20489977728285,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7329313051219837,0.001103490343818597,0.001462819449523573,-0.002553913465282855
9.621380846325167,47.40534521158129,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7248589184039241,0.001134781395909562,0.001431482759545876,-0.002553776223946942
11.224944320712694,47.806236080178174,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7163164249734469,0.00119715558140237,0.00136800982229772,-0.002552553298518032
12.026726057906458,48.00668151447661,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7158863287577377,0.00122827098734135,0.001335883088433369,-0.00255150765094117
14.43207126948775,48.60801781737194,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.729036642214382,0.001321387398105889,0.001238053197618716,-0.002546795991586823
12.828507795100222,48.207126948775056,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7179381713727929,0.001259339835364455,0.001303516088698962,-0.002550192885175498
13.630289532293986,48.4075723830735,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.722361207082944,0.001290376613869322,0.001270905769939654,-0.002548620071214452
18.44097995545657,49.61024498886414,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.792706521907342,0.001476526207481907,0.001069738908728071,-0.002533949505065999
15.233853006681514,48.808463251670375,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.737859875427871,0.001352381967534132,0.001204953369468163,-0.002544724847888116
16.035634743875278,49.00890868596882,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7487289847291593,0.001383381913300265,0.001171586701440073,-0.002542408146272924
16.83741648106904,49.209354120267264,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7615659307334444,0.001414405451497075,0.001137933559445744,-0.002539844358831367
17.639198218262806,49.4097995545657,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.7762617879262933,0.001445455355342601,0.001103985579047262,-0.002537027926965517
19.242761692650333,49.81069042316258,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8107965008854995,0.001507613506698003,0.0010351874184658,-0.002530598398896355
10.42316258351893,47.605790645879736,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.719300260685893,0.001165994697499486,0.001399880458239652,-0.002553315624944266
20.044543429844097,50.01113585746103,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8303862364882737,0.001538712164182281,0.001000325914184027,-0.002526964191096363
20.84632516703786,50.211581291759465,16.970562748477143,2.25,12.5,0,12,5.315500094009459,2.25,12.5,4.783950084608515e-05,0.8513349594751498,0.001569812155118785,0.0009651544283547482,-0.002523036724485626
