degmech,irms,degel,magnet_depth,i,magnet_width,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,0.0001253490466591108,1.864365817022475e-06,-0.001866053936426451,0.001864138692069461
0.20044543429844097,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-6.491822302641754e-05,-3.169436592992777e-05,-0.001849269176496439,0.001880901917744421
0.40089086859688194,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0002239735981541329,-6.527020242979876e-05,-0.001832437959072157,0.001897634100480421
0.8017817371937639,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0003396246062079481,-0.0001325164224069731,-0.001798600353651879,0.001931006433637921
1.0022271714922049,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0003344476891571005,-0.0001661157919248149,-0.001781607889733973,0.001947591419132988
1.2026726057906458,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0002882032149000819,-0.0001996626274434348,-0.001764562287241721,0.001964067340951616
0.6013363028953229,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0003060118038516314,-9.889164371172253e-05,-0.001815543733224063,0.001914344361063424
1.4031180400890868,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0002036235418863771,-0.0002331341452317483,-0.001747454759276562,0.001980401474369947
1.6035634743875278,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-8.424016844055337e-05,-0.0002665077043423924,-0.001730276144993736,0.001996561588410883
1.8040089086859687,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,3.846690512463267e-05,-0.0002997668934503546,-0.001713017338591362,0.002012522397795892
2.0044543429844097,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,0.0001058839029654138,-0.0003328912914921308,-0.001695666586739871,0.002028251993429443
2.2048997772828507,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,1.469005721650608e-05,-0.0003658573735668228,-0.001678209285610087,0.002043712487254612
2.4053452115812917,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0003493977330122175,-0.0003986435688151254,-0.001660628831492416,0.002058865791452061
2.6057906458797326,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.00111517170420171,-0.0004312242164639039,-0.001642906774122323,0.002073667726604484
2.8062360801781736,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.002416451076024694,-0.0004635770584368384,-0.001625023055481719,0.002088075800119107
3.0066815144766146,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.004359901396578738,-0.0004956757547042611,-0.001606954927157194,0.002102039957966813
3.2071269487750556,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.007022706754667337,-0.0005274930626783852,-0.001588677613568869,0.002115506010931051
3.4075723830734965,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.01044359509875064,-0.000559004281006688,-0.001570166986038752,0.002128423299312511
3.6080178173719375,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.01459371224305099,-0.0005901881983407574,-0.001551402981630213,0.002140749283284601
4.008908685968819,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.02462606832014977,-0.0006515204861680599,-0.001513049628936165,0.00216350697481525
3.8084632516703785,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.01937511153915688,-0.0006210296021899591,-0.001532367961024458,0.002152450423193161
4.20935412026726,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.03009921447915447,-0.0006816664774425247,-0.001493442340446182,0.002173921306227165
4.409799554565701,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.03552560290037297,-0.0007114747603571519,-0.001473542254203095,0.002183699099749828
4.610244988864142,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.04062744607915219,-0.0007409447194976315,-0.001453345735615756,0.002192838168489287
4.810690423162583,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.04511171902425321,-0.0007700722856291709,-0.001432848890445023,0.002201331800512801
5.011135857461024,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.04872074215629958,-0.000798850456897727,-0.001412047955316848,0.002209169756555809
5.211581291759465,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.05120279106089918,-0.0008272713884983504,-0.001390943397297827,0.00221634570891585
5.412026726057906,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.0523827879251005,-0.0008553307004405994,-0.001369541744796097,0.002222863473256744
5.612472160356347,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.05214661059318181,-0.0008830246511173556,-0.001347852599081602,0.002228730910491619
5.812917594654788,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.05049224972994836,-0.0009103556503737949,-0.001325883872146872,0.002233960473708489
6.013363028953229,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.04747198808931193,-0.000937330863457297,-0.001303641483605139,0.002238567581273212
6.21380846325167,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.04322922958529165,-0.0009639593640176226,-0.00128112895494843,0.002242567201999317
6.414253897550111,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.037979787018011,-0.0009902517190463031,-0.001258345990678026,0.002245971896347951
6.614699331848552,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.03191938361748732,-0.001016215026485962,-0.001235292211254913,0.002248790597128124
7.015590200445434,0,0,2.95,12,9.313318457557358,5.494857889958836e-05,-0.01821689830207471,-0.001067176348874463,-0.00118837415397051,0.002252701781439444
