magnet_depth,ratio,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.598,0.0,0,22.5,0,0.1,0.598,2.525578174176351e-06,-4.160413326375942e-07,-0.0002931676321280634,0.0001463066757118775,0.0001463502702870767
0.1,0.598,0.0,0,24.75,0,0.1,0.598,2.525578174176351e-06,-0.0008430231987923722,-0.00029086706760177,0.0001831119980965729,0.0001072677613989438
0.1,0.598,0.0,0,27.0,0,0.1,0.598,2.525578174176351e-06,-0.004983263445686184,-0.0002804693179058462,0.0002166937761965107,6.341932882246085e-05
0.1,0.598,0.0,0,29.25,0,0.1,0.598,2.525578174176351e-06,-0.002335341100670066,-0.0002614210939863502,0.0002455441684368056,1.578387446567529e-05
0.1,0.598,0.0,0,31.5,0,0.1,0.598,2.525578174176351e-06,0.00437007840033417,-0.0002365700753424055,0.0002684367909777714,-3.1677549847498e-05
0.1,0.598,0.0,0,33.75,0,0.1,0.598,2.525578174176351e-06,0.003587502886366141,-0.0002059946503247599,0.0002850937532869419,-7.867908670065442e-05
0.1,0.598,0.0,0,36.0,0,0.1,0.598,2.525578174176351e-06,0.0003244942740673364,-0.0001711323283278332,0.0002922553208255997,-0.0001206202573477695
0.1,0.598,0.0,0,38.25,0,0.1,0.598,2.525578174176351e-06,-0.000110082776742729,-0.0001336398416465773,0.0002929757195578439,-0.0001588267424152491
0.1,0.598,0.0,0,40.5,0,0.1,0.598,2.525578174176351e-06,-0.001964842661343168,-9.333900418510266e-05,0.0002885861466215737,-0.0001947859357506527
0.1,0.598,0.0,0,42.75,0,0.1,0.598,2.525578174176351e-06,-0.005370097400128789,-4.76504268873441e-05,0.0002748596966203433,-0.0002269331482661956
0.1,0.598,0.0,0,45.0,0,0.1,0.598,2.525578174176351e-06,1.521957004711985e-06,-1.494613222343343e-09,0.0002538205341921621,-0.0002538194722849991
0.1,0.598,0.0,0,47.25,0,0.1,0.598,2.525578174176351e-06,0.005378865734652539,4.764560398938801e-05,0.0002269300412315121,-0.0002748523896388209
0.1,0.598,0.0,0,49.5,0,0.1,0.598,2.525578174176351e-06,0.00196054473914033,9.333412607103757e-05,0.0001947776316047528,-0.0002885732325474376
0.1,0.598,0.0,0,51.75,0,0.1,0.598,2.525578174176351e-06,0.000117576684874036,0.0001336440338791427,0.0001588125893253282,-0.0002929659928920528
0.1,0.598,0.0,0,54.0,0,0.1,0.598,2.525578174176351e-06,-0.0003254324497469082,0.0001711447785136931,0.0001206075597391197,-0.0002922554456975207
0.1,0.598,0.0,0,56.25,0,0.1,0.598,2.525578174176351e-06,-0.00356746471879409,0.0002060156140141076,7.867864928801693e-05,-0.0002851159492547048
0.1,0.598,0.0,0,58.5,0,0.1,0.598,2.525578174176351e-06,-0.004359875036417949,0.0002366030742793912,3.167123055569404e-05,-0.0002684658718246013
0.1,0.598,0.0,0,60.75,0,0.1,0.598,2.525578174176351e-06,0.0023240805954655,0.0002614426820108822,-1.575877185161722e-05,-0.0002455912826966716
0.1,0.598,0.0,0,63.0,0,0.1,0.598,2.525578174176351e-06,0.004954703142865907,0.0002804821203919004,-6.337257975684736e-05,-0.0002167533885983668
0.1,0.598,0.0,0,65.25,0,0.1,0.598,2.525578174176351e-06,0.0008487547019258306,0.00029087225361961,-0.0001072141800222684,-0.0001831707829080178
0.1,0.598,0.0,0,67.5,0,0.1,0.598,2.525578174176351e-06,4.748807733724398e-06,0.0002931808953052406,-0.0001462996291625128,-0.0001463706043738513
0.1,0.598,16.970562748477143,0,22.5,0,0.1,0.598,2.525578174176351e-06,4.176098289656772e-06,0.0005858420879171603,-0.0002929574388736051,-0.0002932482140801502
0.1,0.598,16.970562748477143,0,24.75,0,0.1,0.598,2.525578174176351e-06,0.01302326822564493,0.0005880303665520336,-0.0002580329892414194,-0.0003303378765019665
0.1,0.598,16.970562748477143,0,27.0,0,0.1,0.598,2.525578174176351e-06,0.03780576328444345,0.0005992928374986223,-0.0002262186384020826,-0.0003732828107972402
0.1,0.598,16.970562748477143,0,29.25,0,0.1,0.598,2.525578174176351e-06,0.06065243435169417,0.0006216425283044674,-0.0001982796501897267,-0.0004233082443610551
0.1,0.598,16.970562748477143,0,31.5,0,0.1,0.598,2.525578174176351e-06,0.08484995122646632,0.0006516154084605898,-0.0001746898186813035,-0.0004765896684327448
0.1,0.598,16.970562748477143,0,33.75,0,0.1,0.598,2.525578174176351e-06,0.0955666923056742,0.0006877622541230053,-0.0001563109332553688,-0.0005309166044302639
0.1,0.598,16.970562748477143,0,36.0,0,0.1,0.598,2.525578174176351e-06,0.0981939800599064,0.0007269577707491859,-0.0001473148685821813,-0.0005790501777486027
0.1,0.598,16.970562748477143,0,38.25,0,0.1,0.598,2.525578174176351e-06,0.09722483410376358,0.0007661216618250857,-0.00014456503752388,-0.0006209889598661312
0.1,0.598,16.970562748477143,0,40.5,0,0.1,0.598,2.525578174176351e-06,0.1005118232153282,0.0008035321345119115,-0.0001469352277253223,-0.0006561119269389174
0.1,0.598,16.970562748477143,0,42.75,0,0.1,0.598,2.525578174176351e-06,0.1103058159553325,0.0008423957733663817,-0.0001602957212477551,-0.0006818215214390858
0.1,0.598,16.970562748477143,0,45.0,0,0.1,0.598,2.525578174176351e-06,0.123192694663962,0.0008857274105079099,-0.0001845877978378755,-0.0007011262466107525
0.1,0.598,16.970562748477143,0,47.25,0,0.1,0.598,2.525578174176351e-06,0.139377579419177,0.0009365259982410917,-0.0002179035029374217,-0.000718805250139512
0.1,0.598,16.970562748477143,0,49.5,0,0.1,0.598,2.525578174176351e-06,0.1280311243090016,0.000991934626585603,-0.0002569174976790787,-0.0007352961439575205
0.1,0.598,16.970562748477143,0,51.75,0,0.1,0.598,2.525578174176351e-06,0.1147532556392316,0.001045567408081687,-0.000297982832856102,-0.000747863702361498
0.1,0.598,16.970562748477143,0,54.0,0,0.1,0.598,2.525578174176351e-06,0.1021416442424353,0.001093957478940108,-0.0003381947801727975,-0.0007560050649749612
0.1,0.598,16.970562748477143,0,56.25,0,0.1,0.598,2.525578174176351e-06,0.08042788102664206,0.001133055723796952,-0.0003772711522353327,-0.0007559281125737959
0.1,0.598,16.970562748477143,0,58.5,0,0.1,0.598,2.525578174176351e-06,0.06158195017351557,0.001160806274349939,-0.0004169323848618102,-0.0007438212443219918
0.1,0.598,16.970562748477143,0,60.75,0,0.1,0.598,2.525578174176351e-06,0.05191642815107652,0.001179969059287831,-0.0004582579242680111,-0.0007214579212270602
0.1,0.598,16.970562748477143,0,63.0,0,0.1,0.598,2.525578174176351e-06,0.03995941814569804,0.001193720091956333,-0.0005047116462065094,-0.0006886090394192647
0.1,0.598,16.970562748477143,0,65.25,0,0.1,0.598,2.525578174176351e-06,0.0135562012844427,0.00120204250843647,-0.0005535239217877891,-0.0006480528310901934
0.1,0.598,16.970562748477143,0,67.5,0,0.1,0.598,2.525578174176351e-06,1.195810033042002e-06,0.001204966112088335,-0.0006020384019058639,-0.0006024554641173911
0.1,0.6633333333333333,0.0,0,22.5,0,0.1,0.6633333333333333,2.526206308319773e-06,1.469672113014068e-06,-0.0002369822315969489,0.0001182118824156312,0.000118273601894956
0.1,0.6633333333333333,0.0,0,24.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-1.635032152700503e-06,-0.0002359384794499735,0.0001528552620467875,8.260046690162736e-05
0.1,0.6633333333333333,0.0,0,27.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.0009607166738030546,-0.000231362443611119,0.0001847517749556169,4.621337012006016e-05
0.1,0.6633333333333333,0.0,0,29.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.0006528782343554329,-0.000219915692808259,0.0002085778839655968,1.121285037520545e-05
0.1,0.6633333333333333,0.0,0,31.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.001127905125303095,-0.0002016739588751163,0.0002244925233822553,-2.257612783996969e-05
0.1,0.6633333333333333,0.0,0,33.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.0004741682827910336,-0.0001747389677403528,0.0002335113212879802,-5.832954621877865e-05
0.1,0.6633333333333333,0.0,0,36.0,0,0.1,0.6633333333333333,2.526206308319773e-06,3.803416842603363e-05,-0.0001414511838868919,0.0002365334081262925,-9.4590421850176e-05
0.1,0.6633333333333333,0.0,0,38.25,0,0.1,0.6633333333333333,2.526206308319773e-06,-2.576453511607955e-05,-0.0001064282329217014,0.0002368652412185445,-0.0001299415428646804
0.1,0.6633333333333333,0.0,0,40.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.0001512236426178372,-7.041907786077684e-05,0.0002349503546513405,-0.0001640635749243055
0.1,0.6633333333333333,0.0,0,42.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.001307014473791581,-3.41812536548381e-05,0.000228321192145077,-0.0001938073796931278
0.1,0.6633333333333333,0.0,0,45.0,0,0.1,0.6633333333333333,2.526206308319773e-06,7.9213587204174e-06,2.884485410238163e-08,0.0002146233102658739,-0.0002146496236096851
0.1,0.6633333333333333,0.0,0,47.25,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.001302644419247493,3.424050098197498e-05,0.0001937814667534385,-0.0002283487972322198
0.1,0.6633333333333333,0.0,0,49.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.0001542255312243773,7.046900928250752e-05,0.0001640446359466244,-0.0002349754326046092
0.1,0.6633333333333333,0.0,0,51.75,0,0.1,0.6633333333333333,2.526206308319773e-06,2.697406152372728e-05,0.0001064755415008501,0.0001299253436289165,-0.0002368905212910926
0.1,0.6633333333333333,0.0,0,54.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-3.269155557831182e-05,0.000141495382063456,9.457824714249497e-05,-0.0002365595994294582
0.1,0.6633333333333333,0.0,0,56.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.0004851605423066323,0.0001747771214341299,5.832883845683067e-05,-0.0002335433538911327
0.1,0.6633333333333333,0.0,0,58.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.001139055983087774,0.0002017069954237371,2.25922336665163e-05,-0.0002245372047090568
0.1,0.6633333333333333,0.0,0,60.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.0006868023261977257,0.000219931085934432,-1.119317856644636e-05,-0.0002086098235949816
0.1,0.6633333333333333,0.0,0,63.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.0009686270854353234,0.0002313514681943511,-4.617284316112415e-05,-0.0001847800785992579
0.1,0.6633333333333333,0.0,0,65.25,0,0.1,0.6633333333333333,2.526206308319773e-06,1.840067905802934e-06,0.0002359239209439778,-8.256523150233818e-05,-0.0001528755962480143
0.1,0.6633333333333333,0.0,0,67.5,0,0.1,0.6633333333333333,2.526206308319773e-06,2.750810010757385e-07,0.000236967673922721,-0.0001182403340093906,-0.0001182306411868643
0.1,0.6633333333333333,16.970562748477143,0,22.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-2.405705014658175e-06,0.0006444144556152941,-0.000322445283635737,-0.000322304935896198
