magnet_depth,ratio,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.598,16.970562748477143,117.0,29.25,0,0.1,0.598,2.525578174176351e-06,-0.1305232109977121,-0.0006655121985272144,-0.0002352238338550919,0.0009006798376095928
0.1,0.598,16.970562748477143,126.0,31.5,0,0.1,0.598,2.525578174176351e-06,-0.1129106803580784,-0.0007687411423095148,-8.37471880243202e-05,0.0008526353453103888
0.1,0.598,16.970562748477143,135.0,33.75,0,0.1,0.598,2.525578174176351e-06,-0.1066482000798553,-0.0008548912941577898,6.538898912367234e-05,0.0007897601351749738
0.1,0.598,16.970562748477143,144.0,36.0,0,0.1,0.598,2.525578174176351e-06,-0.1122426292524614,-0.0009144602568576875,0.0002082736267735961,0.0007064989261935881
0.1,0.598,16.970562748477143,153.0,38.25,0,0.1,0.598,2.525578174176351e-06,-0.1221484282290538,-0.0009451793608350078,0.000344602766231056,0.000600899202038235
0.1,0.598,16.970562748477143,162.0,40.5,0,0.1,0.598,2.525578174176351e-06,-0.1332861148138287,-0.000948458050118637,0.0004736611952769555,0.0004750916175562634
0.1,0.598,16.970562748477143,171.0,42.75,0,0.1,0.598,2.525578174176351e-06,-0.142092539563323,-0.0009257417177850339,0.0005914648052194201,0.0003344504374599063
0.1,0.598,16.970562748477143,180.0,45.0,0,0.1,0.598,2.525578174176351e-06,-0.1231337919655916,-0.0008857473849132235,0.0007007999399601616,0.0001849330027855769
0.1,0.598,16.970562748477143,189.0,47.25,0,0.1,0.598,2.525578174176351e-06,-0.1096181527061761,-0.0008332996144068932,0.0007995544228510995,3.353853472893335e-05
0.1,0.598,16.970562748477143,198.0,49.5,0,0.1,0.598,2.525578174176351e-06,-0.1073043259714663,-0.0007641526982658604,0.0008777286283843844,-0.0001138758003064364
0.1,0.598,16.970562748477143,207.0,51.75,0,0.1,0.598,2.525578174176351e-06,-0.1156100066794902,-0.0006734053321145828,0.0009275078665584083,-0.000254445729387094
0.1,0.598,16.970562748477143,216.0,54.0,0,0.1,0.598,2.525578174176351e-06,-0.1253550106678786,-0.0005605946273637136,0.0009490956104588448,-0.0003888522322489618
0.1,0.598,16.970562748477143,225.0,56.25,0,0.1,0.598,2.525578174176351e-06,-0.1381357446997612,-0.0004292681761262482,0.0009433317487168143,-0.0005143685109479571
0.1,0.598,16.970562748477143,234.0,58.5,0,0.1,0.598,2.525578174176351e-06,-0.1377807082866404,-0.0002848465928796523,0.0009136885307742144,-0.0006290027241248261
0.1,0.598,16.970562748477143,243.0,60.75,0,0.1,0.598,2.525578174176351e-06,-0.1172714479808887,-0.0001340529967818038,0.0008697468042786537,-0.0007356529209659919
0.1,0.598,16.970562748477143,252.0,63.0,0,0.1,0.598,2.525578174176351e-06,-0.1074384696934728,1.66243791604115e-05,0.0008124035626328218,-0.0008288210137246466
0.1,0.598,16.970562748477143,261.0,65.25,0,0.1,0.598,2.525578174176351e-06,-0.1092968328261686,0.0001617994936170397,0.0007364905717442375,-0.0008980102201348883
0.1,0.598,16.970562748477143,270.0,67.5,0,0.1,0.598,2.525578174176351e-06,-0.1189099421714916,0.0003001052359649255,0.0006383474221341558,-0.0009381444740045056
0.1,0.5326666666666666,16.970562748477143,90.0,22.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1265709947420951,-0.0003528407163476531,-0.0006131480470043651,0.0009656783706246891
0.1,0.5326666666666666,16.970562748477143,99.0,24.75,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1422715647486333,-0.0004817632350875658,-0.0004924582348037872,0.0009739478700432853
0.1,0.5326666666666666,16.970562748477143,108.0,27.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1622466574237679,-0.0005990818238574049,-0.000355628557093152,0.0009545702775507022
0.1,0.5326666666666666,16.970562748477143,117.0,29.25,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1683778545653853,-0.000706961907104457,-0.0002038958223852691,0.0009108055752598072
0.1,0.5326666666666666,16.970562748477143,126.0,31.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1405330702064285,-0.0008050646672615085,-4.499312155111974e-05,0.0008500620482772708
0.1,0.5326666666666666,16.970562748477143,135.0,33.75,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.121808017112813,-0.0008870992457532331,0.0001110980172483762,0.0007761306921968419
