degmech,irms,degel,magnet_depth,i,magnet_width,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.002063522708802884,1.333279558946184e-05,-0.002024968198510095,0.002011609197302831
0.20044543429844097,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.0004897832777642056,-2.198491752010716e-05,-0.002007417569176277,0.002029325266776216
0.40089086859688194,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.001131262006556301,-5.731541991510394e-05,-0.001989721183473091,0.002046907778614129
0.6013363028953229,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.002873329011116562,-9.268721469824143e-05,-0.001971861521205989,0.002064364847289478
0.8017817371937639,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.004710043950248752,-0.0001280642873549076,-0.00195384829206158,0.002081672331839895
1.0022271714922049,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.006615861113165717,-0.0001634106738289794,-0.001935695046150989,0.002098807374024749
1.2026726057906458,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.008543741862315669,-0.0001986836031575918,-0.001917404063642203,0.002115725634240827
1.4031180400890868,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01042898174257477,-0.0002338395482990441,-0.001898968996360455,0.002132372376851105
1.6035634743875278,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01221997985826284,-0.0002688443559036718,-0.00188037332035881,0.002148693334028397
1.8040089086859687,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01385068248159197,-0.0003036733116875711,-0.001861597448649887,0.002164642539498099
2.0044543429844097,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01527629458474011,-0.0003383220430993013,-0.00184263575825919,0.002180213662170015
2.2048997772828507,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01642616674249854,-0.0003727919152454354,-0.001823485968406713,0.002195410700853559
2.4053452115812917,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.0171933566121904,-0.0004070646958168666,-0.00180413782547208,0.002210205692602863
2.6057906458797326,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01745027503301637,-0.0004411025613626154,-0.001784569473141247,0.002224534418258753
2.8062360801781736,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01710173373551821,-0.00047487553694677,-0.001764755680576157,0.002238337724167353
3.0066815144766146,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01608857702871527,-0.0005083610721255722,-0.001744675900024225,0.00225156993425235
3.2071269487750556,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.01441223675072812,-0.00054154553717907,-0.001724311265316593,0.00226419726864931
3.4075723830734965,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.0121104916328413,-0.0005744243460879205,-0.001703646298214826,0.002276199773199819
3.6080178173719375,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.009293351838073312,-0.0006070163935953666,-0.001682678919008518,0.002287599247935388
3.8084632516703785,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.006110102592156168,-0.0006393467359342451,-0.001661413544816923,0.002298432147133767
4.008908685968819,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,0.002697547600770315,-0.0006714302174706666,-0.001639849439174402,0.002308717420440106
4.20935412026726,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.0008287020236412988,-0.0007032599150250874,-0.001617974311624721,0.00231843519762796
4.409799554565701,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.004348899862074938,-0.0007348239214175279,-0.00159577292536884,0.002327556535204904
4.610244988864142,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.007739926695075635,-0.0007661160712527011,-0.00157323205000931,0.002336061582209777
4.810690423162583,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01085994123984108,-0.0007971343830361073,-0.001550342470027475,0.002343939964829346
5.011135857461024,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01355477243718541,-0.0008278821417527376,-0.001527095047722227,0.002351187756059218
5.211581291759465,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01567812251173522,-0.0008583640880054809,-0.001503482535897473,0.002357805164321922
5.412026726057906,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01713508519290556,-0.0008885810550039069,-0.001479504001368992,0.002363795471154298
5.612472160356347,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.0178458023431435,-0.0009185387212880045,-0.001455161194199636,0.002369170798357439
5.812917594654788,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01779903281789547,-0.0009482409651992449,-0.001430461100815099,0.002373947134139472
6.013363028953229,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01701172263321017,-0.000977687953983343,-0.001405410530412946,0.002378135595792746
6.21380846325167,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01552248161927358,-0.001006884890566653,-0.001380009723839452,0.002381744878733395
6.414253897550111,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.01342786431338854,-0.001035837396985474,-0.001354259685313152,0.002384784118567141
6.614699331848552,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.0108210541330404,-0.001064553608964832,-0.001328162511259045,0.002387265369922181
6.815144766146993,0,0,2.6,12,9.561201458328847,4.513043353674545e-05,-0.007832516720117753,-0.001093041469728892,-0.001301725005202608,0.002389204703147877
