degel,degmech,irms,magnet_depth,ratio,halbach_side,i,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,45.0,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9510512579984618,0.0004542717468524167,0.001798335865466435,-0.002251323934746826
0.8017817371937639,45.200445434298445,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9456167358293197,0.0004869687904126733,0.001776188578898906,-0.002261699505039921
1.6035634743875278,45.40089086859688,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9400934807297421,0.0005195509288568229,0.00175365475763468,-0.002271566420959767
2.4053452115812917,45.60133630289532,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.934401774644101,0.000552017830054498,0.001730755395274289,-0.002280947320373571
3.2071269487750556,45.801781737193764,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9284512737051941,0.0005843652816265237,0.00170752038313701,-0.002289870556285449
4.008908685968819,46.00222717149221,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9221551377858233,0.0006165932352814368,0.001683971814582423,-0.002298360573751194
4.810690423162583,46.202672605790646,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9154460893196475,0.0006486962898444133,0.001660127328211204,-0.002306430324169592
5.612472160356347,46.40311804008908,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9082636351801002,0.0006806659518019955,0.001635999033204936,-0.002314082628187665
6.414253897550111,46.60356347438753,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.9005798410729676,0.0007124936165122415,0.00161159430192815,-0.002321315220613416
7.216035634743875,46.80400890868597,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8924104048503644,0.0007441693833500777,0.001586921621052298,-0.002328125994792807
8.017817371937639,47.00445434298441,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8838019072033503,0.0007756886610306888,0.001561984903311384,-0.002334514118397897
8.819599109131403,47.20489977728285,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8748332029359832,0.0008070467648946992,0.001536787106903081,-0.002340478281312984
9.621380846325167,47.40534521158129,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8656304068938794,0.000838239304765639,0.001511330027897399,-0.002346016738057978
10.42316258351893,47.605790645879736,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8563397342225703,0.0008692647224208917,0.001485612786967775,-0.002351128300746262
11.224944320712694,47.806236080178174,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.847118912926395,0.0009001215406616203,0.001459633427130625,-0.002355811183025929
12.026726057906458,48.00668151447661,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8381500752341007,0.0009308037721727174,0.001433393277161978,-0.002360062797718371
12.828507795100222,48.207126948775056,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8295870997697593,0.0009613027147097806,0.00140689651527971,-0.002363881010180099
13.630289532293986,48.4075723830735,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8216118590339585,0.0009916140103596348,0.001380144762833309,-0.002367265319737073
14.43207126948775,48.60801781737194,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8144122222512781,0.001021735586424292,0.001353136140338234,-0.002370213694873147
15.233853006681514,48.808463251670375,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8081841025482209,0.001051666623053104,0.001325864530601328,-0.002372720948597033
16.035634743875278,49.00890868596882,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8031207778787844,0.001081404071499278,0.001298323376668335,-0.002374779091090886
16.83741648106904,49.209354120267264,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.7993878588102337,0.00111093935757372,0.001270510189706181,-0.002376378617872085
17.639198218262806,49.4097995545657,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.7971467153798867,0.001140260526166304,0.001242424446553641,-0.002377508470898396
18.44097995545657,49.61024498886414,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.7965024265330347,0.001169351153636037,0.001214069136313092,-0.002378156450752487
19.242761692650333,49.81069042316258,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.7975540306513001,0.001198199726314281,0.001185442348581487,-0.002378310253775725
20.044543429844097,50.01113585746103,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8003730274542773,0.001226798006813216,0.001156540797164985,-0.002377959166985669
20.84632516703786,50.211581291759465,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8049608551695666,0.001255136795387811,0.001127363420436814,-0.002377093382275422
21.648106904231625,50.4120267260579,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8112999091860021,0.001283206677571593,0.001097910346921704,-0.002375703685359121
24.053452115812917,51.01336302895323,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8398658270304422,0.0013656930588602,0.001007945948377571,-0.002368328217295803
22.44988864142539,50.61247216035635,16.970562748477143,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.8193082571718693,0.001310996622592198,0.001068184667983162,-0.002373782052977789
