degmech,irms,degel,magnet_depth,ratio,halbach_side,i,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-7.084502355909644e-05,-2.688745664384661e-08,-0.002030038289340644,0.00203005406934147
0.20044543429844097,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.005435523880211453,-3.274829284131097e-05,-0.002013505497315481,0.00204614506541662
0.40089086859688194,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.01085922998370295,-6.548115195630056e-05,-0.001996520335721487,0.002061793636092426
0.6013363028953229,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.01638671142929717,-9.823639457778584e-05,-0.00197908068819857,0.002077007127343123
0.8017817371937639,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.02210874700303358,-0.0001309965941445657,-0.001961197572405317,0.002091781317231022
1.0022271714922049,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.02811155259827214,-0.0001637455958210606,-0.00194288491837058,0.002106112615032265
1.2026726057906458,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.03446833647515088,-0.0001964663997924823,-0.001924157887740834,0.002119995481221674
1.6035634743875278,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.04850997532657039,-0.0002617458613824706,-0.001885531205531556,0.002146396817472984
1.8040089086859687,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.05624328601808799,-0.000294274115895017,-0.001865654425827539,0.002158905096648693
1.4031180400890868,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.04125428955952239,-0.0002291388579723642,-0.001905035084476077,0.002133425045252838
2.0044543429844097,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.06440803679020783,-0.0003267169939093752,-0.001845417306133686,0.002170957790969988
2.2048997772828507,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.07291090483175611,-0.0003590778310679496,-0.001824831518529344,0.002182573103238378
2.4053452115812917,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.08164370740385833,-0.0003913568105029194,-0.001803907790195259,0.002193764616312038
2.6057906458797326,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.09049304848857734,-0.0004235459655038431,-0.001782650985103951,0.00220453016987933
2.8062360801781736,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.09934457421839697,-0.000455630847338098,-0.001761058357853842,0.002214851681328697
3.0066815144766146,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1080667529414163,-0.0004876004025482453,-0.001739126979953626,0.002224714506996436
3.2071269487750556,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.116510444603039,-0.0005194475862443983,-0.001716852370576513,0.002234106952963004
3.4075723830734965,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1245083324809757,-0.0005511674539946294,-0.001694229061978136,0.002243018943181098
3.6080178173719375,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1318724645682361,-0.0005827566377136191,-0.001671252936309306,0.002251443789076976
4.008908685968819,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1439073446070358,-0.0006455214014135534,-0.001624233010348258,0.002266806476265623
4.20935412026726,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1481714838300684,-0.0006766920966902396,-0.001600187359008632,0.002273740912387744
4.409799554565701,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1510157763530592,-0.0007077227381878058,-0.001575790647763806,0.002280187783351053
3.8084632516703785,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1384074557173244,-0.0006142096928097706,-0.001647921617281494,0.002259374892946709
4.610244988864142,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1523025924951096,-0.000738610833369182,-0.001551050831714956,0.002286155265469361
4.810690423162583,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1519248978486146,-0.0007693541212501398,-0.001525976552588588,0.00229165188528046
5.011135857461024,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.149803678222041,-0.0007999506810561336,-0.001500577647114088,0.002296687232363158
5.211581291759465,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1458940037486687,-0.0008303951343366634,-0.001474866286178722,0.002301269350480543
5.412026726057906,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1402013746577533,-0.0008606797118385477,-0.001448855421928718,0.002305404210485724
5.612472160356347,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1327644139698983,-0.0008907966909833234,-0.00142256082949162,0.002309100236218196
5.812917594654788,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1236666212981864,-0.000920735074816462,-0.00139600340169096,0.002312367691431786
6.013363028953229,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1130221900418913,-0.0009504829584088421,-0.001369206391592742,0.002315218219033785
6.21380846325167,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1009524319406964,-0.000980031671034801,-0.001342192959492201,0.0023176664032968
6.414253897550111,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.08758746637211692,-0.001009377433400374,-0.001314984424307869,0.002319729689268499
6.614699331848552,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.073070064448085,-0.001038521567089341,-0.001287596882609132,0.002321425233087117
6.815144766146993,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.05758035544391709,-0.001067464953208772,-0.00126004311858344,0.002322766501030618
7.015590200445434,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.04132573886235019,-0.001096210031606814,-0.001232329550356752,0.002323762287760882
7.216035634743875,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.02452255057342565,-0.001124760142038235,-0.001204456821227068,0.002324416586689967
7.416481069042316,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.00739972192910114,-0.0011531186973369,-0.001176421718215015,0.002324729644747787
7.616926503340757,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.009810232611927611,-0.001181291443358414,-0.001148217395592236,0.002324700433546586
7.817371937639198,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.02688560356864958,-0.001209286543146837,-0.001119835897454732,0.002324329203984019
8.017817371937639,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.04360300723987595,-0.001237114864234873,-0.001091267723826275,0.002323617221520735
8.21826280623608,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.05974745278360443,-0.001264785083472595,-0.001062503924925232,0.002322564067836513
8.41870824053452,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.07510878436675975,-0.001292301188664251,-0.001033535833765216,0.00232116509784035
8.619153674832962,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.08948595739892111,-0.001319659054334205,-0.001004359057282828,0.002319411993552332
8.819599109131403,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1026985033575477,-0.001346845348312383,-0.0009749730203197337,0.002317291077034722
9.020044543429844,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1146015034086114,-0.00137384018416123,-0.0009453796607687973,0.002314784486748076
9.220489977728285,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1250523761038623,-0.001400616741646847,-0.0009155867811810315,0.002311873142291924
9.420935412026726,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1339306511670459,-0.001427148099407538,-0.0008856053823464986,0.002308540953591121
9.621380846325167,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1411328486525125,-0.001453412137611216,-0.0008554464712735058,0.002304776553395501
9.821826280623608,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1465815847469973,-0.001479390556888856,-0.0008251189560725746,0.002300570317311347
10.022271714922049,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1502315398108098,-0.001505069110129429,-0.0007946306978244311,0.002295915507033668
10.22271714922049,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1520934031737761,-0.001530433364550469,-0.0007639905529699915,0.002290805675411871
10.42316258351893,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1521912887455625,-0.001555469512448116,-0.0007332069359506969,0.002285234131184785
10.824053452115812,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.147497673902715,-0.001604515071156575,-0.0006712324411521867,0.002272679105258468
11.024498886414253,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1429943900322412,-0.001628511845178296,-0.0006400429620647375,0.002265679344285912
10.623608017817372,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1506172111569382,-0.001580165966404881,-0.0007022865818536782,0.0022791942571689
11.625835189309576,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1231553576547688,-0.001698371314169028,-0.0005456489775599699,0.002241720355749622
12.026726057906458,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1066372442614693,-0.001743187484483125,-0.000482052052887619,0.002223306918853231
11.224944320712694,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1373054822156457,-0.001652152778831415,-0.0006087153207678562,0.002258186152147963
11.826280623608017,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1150957828601288,-0.001720952780294702,-0.0005139161978229352,0.00223275497449544
11.425389755011135,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.1306273654708832,-0.001675439211458707,-0.0005772491666088733,0.002250198729783419
12.2271714922049,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.09794673322973163,-0.001765078490444197,-0.0004500655952437369,0.002213387953775099
12.42761692650334,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.089169355203513,-0.001786628567873038,-0.0004179680450401459,0.002203012252456599
12.828507795100222,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.07180890852907104,-0.001828713813728296,-0.0003534814677743307,0.002180943448140319
12.628062360801781,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.08042262743360568,-0.001807839642785814,-0.0003857693778105052,0.002192192468731755
13.028953229398663,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.06342460921265995,-0.001849244600995128,-0.0003211125894442755,0.002169265682025298
13.229398663697104,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.05534707862937587,-0.001869419988526433,-0.0002886658946925588,0.002157147582013971
13.429844097995545,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.04764887973805593,-0.001889228214684336,-0.0002561421103798257,0.002144574928177786
13.630289532293986,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.04037565331439658,-0.001908659857507426,-0.0002235456337339189,0.002131541135429045
13.830734966592427,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.03354397255511884,-0.001927708349645986,-0.0001908864758893511,0.0021180504429753
14.031180400890868,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.02713463495818875,-0.001946361468903186,-0.0001581780715093602,0.002104106463291485
14.231625835189309,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.02109721361363733,-0.001964602332765839,-0.0001254374919894051,0.002089712950045884
14.43207126948775,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.01534360014652954,-0.001982412221559572,-9.268721638659976e-05,0.002074877075859347
14.632516703786191,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.009786239598782965,-0.001999777288214541,-5.994399176491023e-05,0.002059602422957404
14.832962138084632,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,0.004327844222494042,-0.002016688246983285,-2.722367727069389e-05,0.002043893010742343
15.233853006681514,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.006478839675894234,-0.00204916468181042,3.820673131168162e-05,0.002011136606095181
15.033407572383073,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.001078412314165547,-0.002033149232458855,5.489771618001496e-06,0.002027739225696081
15.434298440979955,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.01192899252299353,-0.002064742619901127,7.093967046334761e-05,0.001994082499459805
15.634743875278396,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.01749548078192433,-0.002079885277877325,0.0001036919029938558,0.001976576684888493
15.835189309576837,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.0232776349719953,-0.002094586694003204,0.0001364430868251819,0.001958631349393134
16.035634743875278,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.02936671561198932,-0.002108842855960692,0.0001691781864973826,0.001940259623645397
16.23608017817372,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.03582673211302952,-0.002122644979599393,0.0002018790546546064,0.00192147456794359
16.43652561247216,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.04271299835872435,-0.002135986248600481,0.0002345260549186352,0.001902292247639684
16.6369710467706,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.05004763697362753,-0.002148862097636658,0.0002671058471538991,0.001882723302223634
16.83741648106904,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.05780649533160732,-0.002161271162734909,0.0002996106755521981,0.001862774307320478
17.037861915367483,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.06594837677644041,-0.002173227111042693,0.0003320392462632921,0.001842457718490108
17.238307349665924,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.07440509612493323,-0.002184745728963529,0.0003643907349071695,0.00182178693427668
17.438752783964365,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.08308122787549854,-0.002195838069245394,0.0003966611124621686,0.001800774491730125
17.639198218262806,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.09187561621801232,-0.00220650062802671,0.0004288414732446609,0.001779425370980917
17.839643652561247,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1006782965161987,-0.002216716700146528,0.000460915576167271,0.001757740081981391
18.040089086859687,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1093502648888994,-0.002226471342224461,0.0004928708923620918,0.00173571687146848
18.24053452115813,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1177371318026608,-0.002235751863977232,0.0005246980241470894,0.0017133525580493
18.44097995545657,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1256680486842974,-0.002244547633435192,0.0005563865535444327,0.001690646488590283
18.64142538975501,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1329460837088361,-0.002252852325568479,0.0005879321058810132,0.001667595793991971
18.84187082405345,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1393711598383387,-0.0022606634896567,0.0006193357905292856,0.001644195628287893
19.042316258351892,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1447325361106054,-0.002267980364211489,0.000650598095732457,0.001620443145327709
19.242761692650333,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1488318456505723,-0.002274805956970187,0.0006817209803387065,0.001596337451357421
19.443207126948774,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1514850967806763,-0.002281150261098066,0.0007127092228915764,0.00157188095965094
19.643652561247215,0,0,3,0.1,B,12,0,3,0.1,6.880303262245068e-05,-0.1525296935692665,-0.002287021933779707,0.0007435649850701612,0.001547077542567698
