magnet_depth,irms,degel,degmech,magnet_width,magarea,torque_airgap,flux_a,flux_b,flux_c
0.6550604311820486,16.970562748477143,0.0,45.0,11.110739137119118,1.455485750576329e-05,0.4345926798046716,0.000992546940475606,0.0006635580227560018,-0.001656220740523491
0.6550604311820486,16.970562748477143,8.0,47.0,11.110739137119118,1.455485750576329e-05,0.3989911431047573,0.001134408310726875,0.0004559681019173954,-0.001589537416403403
0.6550604311820486,16.970562748477143,16.0,49.0,11.110739137119118,1.455485750576329e-05,0.5035036396652,0.00126734043392335,0.0002174981521601594,-0.0014835809202705
0.6550604311820486,16.970562748477143,24.0,51.0,11.110739137119118,1.455485750576329e-05,0.5849691647836358,0.001390655696021674,-3.788283898535495e-05,-0.001351350065166831
0.6550604311820486,16.970562748477143,32.0,53.0,11.110739137119118,1.455485750576329e-05,0.5938172475499345,0.001499675897419727,-0.0002889818889460925,-0.001209223564959235
0.6550604311820486,16.970562748477143,40.0,55.0,11.110739137119118,1.455485750576329e-05,0.5874070556110725,0.001591421680241707,-0.0005237024327086372,-0.001066260437041027
0.6550604311820486,16.970562748477143,48.0,57.0,11.110739137119118,1.455485750576329e-05,0.579808020862208,0.001655546104429,-0.0007349287762706458,-0.0009193022237308106
0.6550604311820486,16.970562748477143,56.0,59.0,11.110739137119118,1.455485750576329e-05,0.494683484399122,0.001670649809677431,-0.0009148558480113593,-0.000755120071077174
0.6550604311820486,16.970562748477143,64.0,61.0,11.110739137119118,1.455485750576329e-05,0.3977173432739949,0.001628274778392138,-0.001065333564634067,-0.000563335764403706
0.6550604311820486,16.970562748477143,72.0,63.0,11.110739137119118,1.455485750576329e-05,0.4408914816570699,0.001540588441343111,-0.001202216021649132,-0.0003394640381590732
0.6550604311820486,16.970562748477143,80.0,65.0,11.110739137119118,1.455485750576329e-05,0.5570921506565389,0.001419473302253244,-0.001331008884377265,-8.978827686566684e-05
0.6550604311820486,16.970562748477143,88.0,67.0,11.110739137119118,1.455485750576329e-05,0.5933656057889998,0.001280738972586576,-0.001447544194618593,0.0001653502868657504
0.6550604311820486,16.970562748477143,96.0,69.0,11.110739137119118,1.455485750576329e-05,0.590783050265585,0.001137742239985078,-0.001548315841765467,0.000409105170473902
0.6550604311820486,16.970562748477143,104.0,71.0,11.110739137119118,1.455485750576329e-05,0.5863558162760778,0.0009941028113671486,-0.001628680607961834,0.0006331488366564075
0.6550604311820486,16.970562748477143,112.0,73.0,11.110739137119118,1.455485750576329e-05,0.5511304698984408,0.0008403215661259782,-0.001670829067597883,0.0008294236505965308
0.6550604311820486,16.970562748477143,120.0,75.0,11.110739137119118,1.455485750576329e-05,0.4340246316959107,0.0006632747923870532,-0.001656426092411786,0.00099301812068606
0.6550604311820486,16.970562748477143,128.0,77.0,11.110739137119118,1.455485750576329e-05,0.3987876882094923,0.0004558526754735763,-0.001589745511761031,0.001134731896056348
0.6550604311820486,16.970562748477143,136.0,79.0,11.110739137119118,1.455485750576329e-05,0.5035047960769863,0.0002174641487506132,-0.001483837356545976,0.001267625339069268
0.6550604311820486,16.970562748477143,144.0,81.0,11.110739137119118,1.455485750576329e-05,0.5850352764447826,-3.789835826446691e-05,-0.001351628447457044,0.001390930341171376
0.6550604311820486,16.970562748477143,152.0,83.0,11.110739137119118,1.455485750576329e-05,0.5937360415231979,-0.000288971669045331,-0.001209541841016042,0.001499952447625946
0.6550604311820486,16.970562748477143,160.0,85.0,11.110739137119118,1.455485750576329e-05,0.5873076643769007,-0.0005236328494571153,-0.001066619752338239,0.001591670813759608
0.6550604311820486,16.970562748477143,168.0,87.0,11.110739137119118,1.455485750576329e-05,0.5798623853880482,-0.000734780281618588,-0.0009196739280262381,0.001655725560136148
0.6550604311820486,16.970562748477143,176.0,89.0,11.110739137119118,1.455485750576329e-05,0.4947196128713591,-0.0009146495633695055,-0.0007554929183419641,0.001670780799889777
0.6550604311820486,16.970562748477143,184.0,91.0,11.110739137119118,1.455485750576329e-05,0.397716870573483,-0.001065101103227732,-0.0005637171313087789,0.001628400219865059
0.6550604311820486,16.970562748477143,192.0,93.0,11.110739137119118,1.455485750576329e-05,0.4409221043247038,-0.001201945752658162,-0.0003398642539246543,0.001540700682517199
0.6550604311820486,16.970562748477143,200.0,95.0,11.110739137119118,1.455485750576329e-05,0.5570322816968112,-0.001330719494712425,-9.01774689287408e-05,0.001419560495107479
0.6550604311820486,16.970562748477143,208.0,97.0,11.110739137119118,1.455485750576329e-05,0.5933487452413195,-0.001447214276626193,0.0001649665725833635,0.001280785984300466
0.6550604311820486,16.970562748477143,216.0,99.0,11.110739137119118,1.455485750576329e-05,0.590754073981784,-0.001547952957826342,0.0004087225314994339,0.0011377614537226
0.6550604311820486,16.970562748477143,224.0,101.0,11.110739137119118,1.455485750576329e-05,0.5863122101577076,-0.001628289204786352,0.0006327561368498956,0.0009941103905200808
0.6550604311820486,16.970562748477143,232.0,103.0,11.110739137119118,1.455485750576329e-05,0.5510576921805038,-0.00167045324232263,0.000829081658964325,0.000840292856252497
0.6550604311820486,16.970562748477143,240.0,105.0,11.110739137119118,1.455485750576329e-05,0.4345321078223906,-0.001656098815105359,0.0009927766515166274,0.0006631774519087894
0.6550604311820486,16.970562748477143,248.0,107.0,11.110739137119118,1.455485750576329e-05,0.3990131354574309,-0.00158941570281837,0.001134656239577072,0.0004555785164476973
0.6550604311820486,16.970562748477143,256.0,109.0,11.110739137119118,1.455485750576329e-05,0.5034663022346789,-0.00148348013474803,0.00126762411720036,0.0002170982225515087
