degmech,irms,degel,magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,i,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.000811315156993366,-6.570319677939081e-08,-0.002527806209896222,0.002527854142093953
0.20044543429844097,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.007326451485425009,-4.072745738784381e-05,-0.00250804244662175,0.002546684512038672
0.40089086859688194,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.01533210775073909,-8.135109041668034e-05,-0.002487506611406178,0.002564687093205265
0.6013363028953229,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.02312420725695696,-0.0001218793796697664,-0.002466462904811608,0.002582071159139057
0.8017817371937639,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.03028302639806198,-0.0001623468367480751,-0.002444927620553532,0.002598925847156893
1.0022271714922049,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.0361722971845702,-0.0002028432896690286,-0.002422705463367241,0.002615193168170962
1.2026726057906458,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04115577814642275,-0.0002432225634835233,-0.002400042097500667,0.002630921321410419
1.4031180400890868,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04567133690936821,-0.000283342453606618,-0.002377174412061249,0.002646157209906086
1.6035634743875278,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04878506425927213,-0.0003234111986344937,-0.002353660269134284,0.002660756614995942
1.8040089086859687,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04968821092895434,-0.000363610789528802,-0.002329138501541882,0.00267461438786294
2.0044543429844097,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04879479174759593,-0.0004038397834431093,-0.002303803168110585,0.002687787788101722
2.2048997772828507,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.04671353508049127,-0.0004439605649678455,-0.002277915535012816,0.002700353710446907
2.4053452115812917,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.0431840137617598,-0.0004840559621263872,-0.002251328480893591,0.002712284994168942
2.6057906458797326,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.03821618127674119,-0.0005241543801462311,-0.002223995100302497,0.002723581527697798
2.8062360801781736,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.03231549587475393,-0.0005641736306444391,-0.002196079284997356,0.002734298271934293
3.0066815144766146,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.02595144211684386,-0.0006040334130969561,-0.002167739085315404,0.002744486591341945
3.2071269487750556,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.01918643059820571,-0.0006437511986219747,-0.002138934906485749,0.002754139580088408
3.4075723830734965,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.01210238254940058,-0.0006833384054701006,-0.002109639341338654,0.002763251190669471
3.6080178173719375,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,-0.005053846360873426,-0.0007227380573646596,-0.002079954051813568,0.002771846158888394
3.8084632516703785,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.001689245832470588,-0.0007619134175617997,-0.002049948378219912,0.002779941353804808
4.008908685968819,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.00798567572805373,-0.0008008647069587382,-0.002019621997161556,0.002787537010250506
4.20935412026726,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.01372235161737868,-0.000839595604799065,-0.001988964983818989,0.002794631337003699
4.409799554565701,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.01882082040343158,-0.0008781114839807765,-0.001957967736600889,0.002801225156917728
4.610244988864142,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.02319706020168163,-0.0009164059260081364,-0.001926646108013163,0.002807327591141521
4.810690423162583,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.02673971975852538,-0.0009544674468194305,-0.001895029857789394,0.002812952717607232
5.011135857461024,0,0,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,0.02943900641699042,-0.0009922918919125381,-0.001863131721773383,0.002818109846555426
