degel,degmech,irms,magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,i,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,45.0,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.166754446010297,0.0003385447012749037,0.002350517789543242,-0.002671076953978233
0.8017817371937639,45.200445434298445,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.16210244154123,0.0003803597653119598,0.002323264046504287,-0.002683876815286996
1.6035634743875278,45.40089086859688,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.158170696193032,0.0004224265785722489,0.002295067387907526,-0.002696085690666066
2.4053452115812917,45.60133630289532,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.154890377054588,0.0004646560051618441,0.002266069622446061,-0.002707738972949682
3.2071269487750556,45.801781737193764,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.1528932778522,0.00050712669922839,0.002236121724545437,-0.002718807838959414
4.008908685968819,46.00222717149221,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.152274488586359,0.0005497900063309292,0.002205336590413008,-0.002729339288218026
4.810690423162583,46.202672605790646,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.152760413851826,0.0005925118430627544,0.002173955929605318,-0.002739403841759675
5.612472160356347,46.40311804008908,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.154456101867891,0.0006352677359038281,0.002142016265353704,-0.002749017463896651
6.414253897550111,46.60356347438753,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.157488720962309,0.0006780599411137619,0.002109497152949402,-0.002758174026142122
7.216035634743875,46.80400890868597,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.161462915365397,0.0007207778183910826,0.002076551144257165,-0.002766892143900143
8.017817371937639,47.00445434298441,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.166078004651636,0.0007633388428271888,0.002043293692561227,-0.002775184904824284
8.819599109131403,47.20489977728285,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.171174420463174,0.0008056905754850242,0.002009772711368801,-0.002783048491528247
9.621380846325167,47.40534521158129,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.176676354722697,0.0008478026712568956,0.001976005186460624,-0.002790475387840356
10.42316258351893,47.605790645879736,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.18247561418559,0.0008896449786948237,0.001942018637044503,-0.002797464953222081
11.224944320712694,47.806236080178174,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.188389861957363,0.0009311647781646937,0.001907887736619384,-0.002804031548548877
12.026726057906458,48.00668151447661,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.194238592487904,0.0009723234737511976,0.001873666993150877,-0.002810186335018569
16.035634743875278,49.00890868596882,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.217822784353846,0.00117214725359316,0.001701839537049144,-0.002834923911463417
12.828507795100222,48.207126948775056,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.199873507350448,0.001013099788488135,0.001839378983238996,-0.002815932600469298
13.630289532293986,48.4075723830735,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.205167741736697,0.001053478850832437,0.00180503919819206,-0.002821273573859884
16.83741648106904,49.209354120267264,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.220621691204344,0.001210864298481655,0.001667401727091421,-0.002838695594798112
14.43207126948775,48.60801781737194,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.209999655936475,0.001093451402102728,0.001770661955808717,-0.002826215658259802
15.233853006681514,48.808463251670375,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.214247727249335,0.001133009385380597,0.001736259830808046,-0.00283076470242134
17.639198218262806,49.4097995545657,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.222553378510169,0.001249150664666193,0.001632956488483702,-0.002842082234736579
18.44097995545657,49.61024498886414,16.970562748477143,5,0.25,-20,0,A,True,12,0.0062096503007499915,0.49379034969925,-20,0,0.00010681530445482,1.223559196230807,0.001287007662781149,0.001598501749301987,-0.002845084974545708
