degmech,irms,degel,magnet_depth,magnet_angle,angle_margin,i,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,8.240880860244256e-05,-1.161471428770761e-07,-0.002140079049438,0.002140105232963983
0.20044543429844097,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.004952336908638192,-3.531925126405689e-05,-0.002122382592651282,0.002157399968684463
0.40089086859688194,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.01004033218967492,-7.053733895453628e-05,-0.002104274517184893,0.00217429220556094
0.6013363028953229,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.01523263525074565,-0.0001057915266277673,-0.002085800177654577,0.002190848335162648
0.8017817371937639,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.02066315687003018,-0.0001410547231533569,-0.002067011453731375,0.002207094103088583
1.0022271714922049,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.02646877691758605,-0.0001762930758965798,-0.002047902991570919,0.0022229851713077
1.2026726057906458,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.0327834417845817,-0.0002114754676311862,-0.002028455640179153,0.002238466423889348
1.4031180400890868,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.03972696596606181,-0.0002465818999363782,-0.002008646655597938,0.002253491104516401
1.8040089086859687,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.05588858000339127,-0.0003165331015514453,-0.001967858770703346,0.002282045140851931
1.6035634743875278,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.04739695613064696,-0.0002815998352151594,-0.001988452723760162,0.002268020773241372
2.0044543429844097,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.06524259378844392,-0.0003514207643898732,-0.001946881240687515,0.002295628669181532
2.2048997772828507,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.07551333233783836,-0.0003862869539741063,-0.001925554189739959,0.002308836362423745
2.4053452115812917,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.0867875305752184,-0.000421106167732259,-0.001903887642248849,0.002321649282044
2.6057906458797326,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.09912545870759196,-0.0004558369819337822,-0.001881867183501241,0.002334004389439217
2.8062360801781736,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1124884932016297,-0.0004904518258914976,-0.001859472193728272,0.002345849248989767
3.0066815144766146,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1267467045901949,-0.0005249310812010091,-0.001836686246463555,0.002357145590488555
3.2071269487750556,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1416567539099988,-0.0005592643818056401,-0.001813502710133994,0.002367876732100334
3.4075723830734965,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1568384894053501,-0.0005934732490424041,-0.001789942370373558,0.002378093554511137
3.6080178173719375,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1718236880174402,-0.0006275868966713919,-0.001766038112896797,0.002387869696432049
3.8084632516703785,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1860713845386513,-0.0006616194329475791,-0.001741819859257643,0.002397258559265561
4.008908685968819,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.19901340601833,-0.0006955717365108193,-0.001717314583891639,0.002406295287539829
4.20935412026726,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2101049363635304,-0.0007294191911287602,-0.001692534479052121,0.002414968705698457
4.409799554565701,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2188527447811487,-0.000763119551056799,-0.001667480847406464,0.002423234560381096
4.610244988864142,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2248301483610865,-0.0007966351324062279,-0.001642158437352952,0.002431057502644588
4.810690423162583,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2276982749081633,-0.0008299368720567962,-0.001616572772587636,0.00243841276194033
5.011135857461024,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2272347699832476,-0.0008630032135449306,-0.001590729531280807,0.002445284450497468
5.211581291759465,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2233224293896571,-0.0008958187919193475,-0.001564636495693889,0.002451667230321426
5.412026726057906,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.2159840116148917,-0.0009283738907003726,-0.001538302486365981,0.002457564241073492
5.612472160356347,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.20534641452169,-0.0009606566069127037,-0.001511733658128447,0.002462973468500277
5.812917594654788,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1916428807196653,-0.0009926514002974894,-0.001484934920770043,0.002467887692498393
6.013363028953229,0,0,2.5,30,0,12,4.864071946276208,2.5,30,4.864071946276213e-05,-0.1751719705591527,-0.001024336515656345,-0.001457912494140331,0.002472294487153494
