degel,degmech,irms,magnet_depth,i,magnet_width,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,45.0,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.8109592930510569,0.0008881124336113149,0.001557071180157354,-0.002438970579682085
0.8017817371937639,45.200445434298445,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7827274978258252,0.000916620890737277,0.001531038010420119,-0.002441228657438956
1.6035634743875278,45.40089086859688,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7558462168140438,0.0009450569811676868,0.001504474825002214,-0.002442905230415156
2.4053452115812917,45.60133630289532,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7309236753075121,0.0009734192783104861,0.001477395820722024,-0.002444013830774818
3.2071269487750556,45.801781737193764,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7084823174486874,0.001001701413670448,0.001449823764063772,-0.002444571391847624
4.008908685968819,46.00222717149221,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6889293758502312,0.001029898726568434,0.001421782735748716,-0.002444597387505902
4.810690423162583,46.202672605790646,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6725595522253727,0.001058013878777697,0.001393292764025469,-0.002444114090168768
5.612472160356347,46.40311804008908,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.659546983619977,0.001086055690097583,0.001364369641379043,-0.002443145356619072
6.414253897550111,46.60356347438753,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6499325346134236,0.0011140337216394,0.001335029708511966,-0.002441716142319064
7.216035634743875,46.80400890868597,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6436594332242436,0.001141951116230262,0.001305294939121052,-0.002439850685103387
8.017817371937639,47.00445434298441,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6405739357850664,0.001169807056010952,0.001275189364741305,-0.002437571304964504
8.819599109131403,47.20489977728285,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6404949219917833,0.001197600189780471,0.001244735482098489,-0.002434898245556606
12.026726057906458,48.00668151447661,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6659559169450143,0.001308168243911992,0.001119759923565223,-0.002420601554826129
12.828507795100222,48.207126948775056,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6778140458237254,0.001335704227323152,0.001087757108450549,-0.002416199814773742
13.630289532293986,48.4075723830735,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6915601924533198,0.001363224973729149,0.001055451066256919,-0.002411494698150585
15.233853006681514,48.808463251670375,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7241749576620798,0.001418256494945569,0.0009899432829393443,-0.002401227265966309
9.621380846325167,47.40534521158129,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6431988055457744,0.00122532881596642,0.00121395343716726,-0.002431849182018993
10.42316258351893,47.605790645879736,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6484766142559116,0.001252994399908807,0.001182858537199037,-0.002428440213438436
11.224944320712694,47.806236080178174,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.6561230425265122,0.001280603374353506,0.001151460025476446,-0.002424686344010249
16.035634743875278,49.00890868596882,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7427432128912753,0.001445775856121654,0.0009567544070272074,-0.002395687875547958
14.43207126948775,48.60801781737194,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.707062925635887,0.001390740218341163,0.001022844506618724,-0.002406499436750081
17.639198218262806,49.4097995545657,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7835569581793312,0.00150080696553208,0.0008895094901661021,-0.002383783452324403
16.83741648106904,49.209354120267264,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.7626035719472324,0.00147329478853018,0.0009232789121968577,-0.002389878313681728
18.44097995545657,49.61024498886414,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.8053905458688465,0.001528301820214864,0.0008554372860428423,-0.002377381752183852
19.242761692650333,49.81069042316258,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.8278735965732754,0.001555764731314606,0.0008210515645831265,-0.002370645116434767
20.044543429844097,50.01113585746103,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.8507280268101552,0.00158317557605204,0.0007863396832013628,-0.002363537222969971
20.84632516703786,50.211581291759465,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.8736669019475894,0.001610509536021548,0.0007512870221275522,-0.002356014245273691
21.648106904231625,50.4120267260579,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.896379077735996,0.001637746755741362,0.0007158886284673908,-0.002348048011701436
22.44988864142539,50.61247216035635,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.9185248266819048,0.001664875562424002,0.0006801584221911218,-0.002339639498368427
23.251670378619153,50.81291759465479,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.9397592328234172,0.00169188741621307,0.0006441167950310633,-0.00233080007787578
24.053452115812917,51.01336302895323,16.970562748477143,1.5,12,11.156570016678703,3.345196944391341e-05,0.9597708862146002,0.001718776020825868,0.0006077911355768033,-0.002321551016012744
