degel,degmech,irms,magnet_depth,ratio,halbach_side,i,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.0,45.0,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,1.037175141366684,0.000378805914583375,0.002331351788584365,-0.002691356183400087
0.8017817371937639,45.200445434298445,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,1.012740911650973,0.0004161634833129652,0.002306023299512271,-0.002701840554432012
1.6035634743875278,45.40089086859688,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.9893730292718638,0.0004536585569605362,0.0022799659744711,-0.002711800806194813
2.4053452115812917,45.60133630289532,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.9672072918603876,0.0004913569565788824,0.002253073600639908,-0.00272122582276011
3.2071269487750556,45.801781737193764,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.946299085792881,0.0005292948734170428,0.002225301900157144,-0.002730120538103382
4.008908685968819,46.00222717149221,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.9263025139198766,0.000567393652518654,0.002196808660878846,-0.002738536363480765
4.810690423162583,46.202672605790646,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.9068788876069617,0.000605577729799938,0.002167746838615922,-0.002746523311650101
5.612472160356347,46.40311804008908,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8880579208843579,0.000643873502191177,0.002138082470442727,-0.002754084889065735
6.414253897550111,46.60356347438753,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8698407306533477,0.0006822936503903523,0.002107803845247331,-0.002761225882451671
7.216035634743875,46.80400890868597,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8520376205168311,0.0007207860434289781,0.002077014524806769,-0.00276797654873153
8.017817371937639,47.00445434298441,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8345178305674402,0.0007593072586804128,0.002045795323887473,-0.002774359343702106
8.819599109131403,47.20489977728285,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8173474716950915,0.0007978579206704904,0.00201415203300584,-0.00278038028695354
9.621380846325167,47.40534521158129,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8007115652399229,0.0008364515273647419,0.001982071133646487,-0.002786043027788115
10.42316258351893,47.605790645879736,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7848457763176304,0.0008750929950924315,0.001949550498319977,-0.002791353570050744
12.828507795100222,48.207126948775056,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7444105735466333,0.0009911778555686552,0.001849679787261102,-0.002805327107907398
13.630289532293986,48.4075723830735,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7345231088178549,0.001029900848026119,0.001815687227577989,-0.002809369935494618
11.224944320712694,47.806236080178174,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7699761914418658,0.0009137710613005264,0.001916621985182452,-0.002796327755842012
14.43207126948775,48.60801781737194,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7271274778225261,0.00106862927102244,0.001781363969576986,-0.002813119240188353
12.026726057906458,48.00668151447661,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7563730960855927,0.0009524676117877056,0.00188332690881389,-0.002800982302896218
16.035634743875278,49.00890868596882,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7214373710954567,0.001146064688585798,0.001711792030538676,-0.002819769782168003
16.83741648106904,49.209354120267264,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7238187612145783,0.001184746366282838,0.001676576736707652,-0.002822682004626307
15.233853006681514,48.808463251670375,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7226410316317002,0.001107354134410799,0.001746726541916509,-0.002816583377445314
17.639198218262806,49.4097995545657,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.730018129458601,0.001223382452317255,0.001641096308615126,-0.002825321520714233
18.44097995545657,49.61024498886414,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7401611104366996,0.001261957845884651,0.001605361734371804,-0.002827686977921604
20.044543429844097,50.01113585746103,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7727899880734292,0.001338931576678306,0.001533092727421006,-0.002831572308249515
19.242761692650333,49.81069042316258,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7543933504898146,0.001300470749671234,0.001569367859948431,-0.002829773579128108
20.84632516703786,50.211581291759465,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.7953105406386364,0.001377326630197947,0.001496532291923794,-0.002833069509807766
21.648106904231625,50.4120267260579,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8218513695952058,0.00141563195556264,0.001459691058156941,-0.002834250266759034
25.657015590200444,51.41425389755011,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,1.010049372512744,0.001605374795708421,0.001271152685393766,-0.0028349703528427
22.44988864142539,50.61247216035635,16.970562748477143,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.8522708280410675,0.001453825961650473,0.001422572364706741,-0.002835100524239503
