degmech,irms,degel,magnet_depth,ratio,halbach_side,i,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
17.037861915367483,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.2973363955340541,-0.00267636761526409,0.0003708149429171066,0.002324601015507577
17.238307349665924,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3249905201149946,-0.002687395491479069,0.0004083203808339356,0.002299716065852259
17.438752783964365,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3520985868788469,-0.002697912437191762,0.0004459902941700212,0.002274108166034537
17.639198218262806,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3779048712283262,-0.002707885913859804,0.0004839604536035658,0.002247565377478968
17.839643652561247,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4019391279070828,-0.002717333917211677,0.000522257371938589,0.002220071226589351
18.040089086859687,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4241054716091575,-0.002726317385940922,0.0005607882786740281,0.002191808031883281
18.24053452115813,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4442556933454045,-0.002734887258294981,0.0005994659028298821,0.002162939442675941
18.44097995545657,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.461698468942204,-0.002743039512158958,0.0006383395506099262,0.002133393297297362
18.64142538975501,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4758803985361444,-0.002750787591360409,0.0006774189865944977,0.00210316890897265
18.84187082405345,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4865825903901309,-0.002758172366081754,0.000716630481840977,0.002072402924263381
19.042316258351892,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4935833761910243,-0.002765217209280733,0.0007559232892739511,0.00204118265105452
19.242761692650333,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4966200797331716,-0.002771921444745006,0.0007952914670279282,0.002009511456657312
19.443207126948774,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4954490497136806,-0.002778276327200686,0.0008347389200832884,0.001977371193290838
19.643652561247215,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4899620617272409,-0.002784272039307997,0.0008742656102415412,0.001944747234440727
19.844097995545656,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4801984466399401,-0.002789906046420352,0.000913842325965932,0.001911669624468545
20.044543429844097,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4662630211938801,-0.002795171376763476,0.0009534356821400711,0.001878167207866836
20.244988864142538,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.4481703685186907,-0.002800055481912413,0.0009930356065936778,0.001844233184563139
20.44543429844098,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.425885537962275,-0.002804547764631926,0.001032635671563477,0.001809858129635942
20.64587973273942,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3994411780462788,-0.002808640822796706,0.001072224751343856,0.00177504161610238
20.84632516703786,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3688843587876963,-0.002812329703731468,0.001111786946747148,0.001739791150392763
21.046770601336302,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.3343585723242489,-0.002815608104613065,0.001151300288557928,0.001704118739562911
21.247216035634743,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.2961057940742172,-0.002818468992250985,0.001190739556819198,0.001668038666793564
21.447661469933184,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.2544250655259009,-0.002820909509195931,0.001230080365105838,0.001631569098745571
21.648106904231625,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.2097227246239757,-0.002822929856338739,0.001269297465868468,0.001594732659126751
21.848552338530066,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.1625081303912784,-0.002824529247809129,0.001308356017586422,0.001557560478817154
22.048997772828507,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.1133573153999208,-0.002825703826921495,0.001347215640899563,0.001520086873708412
22.249443207126948,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.06285844691994368,-0.002826448368250884,0.001385861116562754,0.001482320768702762
22.44988864142539,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,-0.01158307979209445,-0.002826759574580976,0.001424286994515735,0.001444263337082112
22.65033407572383,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.03982513004618246,-0.002826636450743821,0.00146246177133623,0.001405944482233521
22.85077951002227,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.0906662307055125,-0.002826079244686978,0.001500347623006382,0.001367402465656892
23.051224944320712,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.1403128352198802,-0.002825089042194775,0.001537922552461349,0.00132866123889066
23.251670378619153,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.1882136983967837,-0.002823669326988423,0.001575192526443361,0.001289719172724716
23.452115812917594,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.2338273764116555,-0.002821823986484616,0.001612141576888487,0.001250597520544304
23.652561247216035,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.2766381131749592,-0.002819554262401339,0.001648740785229715,0.001211328903562685
23.853006681514476,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.3161784666088597,-0.002816861906487687,0.00168496545796142,0.001171942996725462
24.053452115812917,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.3521162022633662,-0.002813752102360186,0.001720799243389709,0.001132465031083167
24.253897550111358,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.3841672076052163,-0.002810230639439723,0.001756226421394964,0.001092920396183222
24.4543429844098,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.4121801296993239,-0.002806301613975458,0.00179123252688648,0.001053331102906253
24.65478841870824,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.4360708052559986,-0.00280196777242819,0.001825806495340733,0.001013714126150834
24.85523385300668,0,0,5,0.25,A,12,0,5,0.25,0.0001068153405797175,0.4558292337473168,-0.002797233546729001,0.001859945332128905,0.0009740803583828525
