magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,irms,degel,degmech,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.000305070882853,-0.002324113576679,0.0011646924915133,0.0011642264910868
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.1007049144007648,-0.0022384191960037,0.0017547646467377,0.0004861923888347
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.062562096788103,-0.0019169212164466,0.002160088860455,-0.0002443810191803
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,36.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.081662495803839,-0.0013703999650127,0.0023154025175647,-0.0009494361577841
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,40.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.1062474630257219,-0.0007223371826098,0.0022878323755623,-0.0015690983791071
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,45.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.0001804675110409,3.23793192609674e-08,0.002051724030587,-0.0020517443010386
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,49.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.1069520692256297,0.000722496279879,0.0015692291323619,-0.002288093007672
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,54.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.0825162576498895,0.0013706252278832,0.000949338307624,-0.0023155139962064
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,58.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.0623805433847795,0.0019169997360301,0.0002441739334194,-0.0021599579224995
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,63.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.100450298528695,0.0022381525459729,-0.0004863961017346,-0.0017542911738397
3,0.1,-7.999999999999986,-45.0,B,True,0.0,0,67.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.000817128982819,0.002323821694098,-0.0011643307728853,-0.001164286967448
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.0007264527810568,-0.0019278929430793,0.0009654061401133,0.0009648465292942
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.3661442237244914,-0.0018255911712651,0.0015639516820903,0.000263106212543
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.5190414700663056,-0.0014933603780222,0.0019691583388765,-0.000476312793492
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,36.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.7215489875158637,-0.0009456314080198,0.0021298089952625,-0.0011863674438419
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,40.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,1.020029432078984,-0.0002736677203569,0.0020747764768328,-0.0018029791953598
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,45.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.9467629809325676,0.000453816279376,0.0018187972958255,-0.0022709688915334
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,49.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.7882100463836755,0.0011655765154292,0.0013229988797998,-0.00247927489076
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,54.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.8519901786651397,0.0017921947223068,0.0007007925700876,-0.0024832575822373
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,58.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.6304187428544629,0.0023174736493736,1.65110556360969e-05,-0.0023332508826707
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,63.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.1183830397106186,0.0025813617159554,-0.0006790574822673,-0.0019171508785686
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,0,67.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,0.0005547528833964,0.0026514408170857,-0.0013359989160763,-0.0013360931511422
