magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,irms,degel,degmech,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,90.0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.9409218987688972,-0.0023288457758546,0.0007772301564411,0.0015562352289104
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,108.0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.8578296366723466,-0.002372013941104,0.0014481593245582,0.0009288973572143
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,126.0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-1.015039270639442,-0.0021774062505723,0.0019700490527773,0.0002073984456328
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,144.0,36.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-1.035231210011091,-0.0017319396457028,0.002267338449479,-0.0005386868901996
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,162.0,40.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.8566128734013732,-0.0011537067094638,0.0023819826737058,-0.0012338083376343
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,180.0,45.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.9470460817305494,-0.0004538075910825,0.002270982600979,-0.0018187938594491
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,198.0,49.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-1.075859655051138,0.0002932579330919,0.0018994700445478,-0.0021904676885498
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,216.0,54.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.8713889678473713,0.0010095338977247,0.0013645268820237,-0.0023687133362394
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,234.0,58.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.8864951651483312,0.0016447023440995,0.000694578707775,-0.0023358662075175
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,252.0,63.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-1.064548131878719,0.002093450566239,-4.280340287554241e-05,-0.0020520102775951
3,0.1,-7.999999999999986,-45.0,B,True,16.970562748477143,270.0,67.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-45.0,6.880319606540077e-05,-0.9394974511441754,0.0023286191867682,-0.000776891858515,-0.0015563378594869
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,90.0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.926652112434019,-0.0023135419663243,0.0007706788829825,0.0015470761988734
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,108.0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.8662840421059195,-0.0023529356461115,0.0014288275007016,0.0009283954587081
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,126.0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.9962046292170604,-0.0021531598129034,0.001945105717402,0.0002080556850705
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,144.0,36.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-1.02543428131292,-0.0017193471507235,0.0022510300118188,-0.0005346482130303
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,162.0,40.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.8485720078410478,-0.0011512863199518,0.0023658179331407,-0.0012193628982519
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,180.0,45.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.9467555538566972,-0.0004543524291335,0.0022462291565439,-0.0017931511505324
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,198.0,49.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-1.05935839894078,0.0002909010338483,0.0018831739713357,-0.0021720813300076
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,216.0,54.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.8541619382442068,0.000999600609055,0.0013590282881979,-0.0023538507903773
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,234.0,58.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.8999253144602886,0.0016210782851552,0.0006948602541132,-0.0023131241024315
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,252.0,63.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-1.040282390264407,0.002071494218126,-4.158296263096031e-05,-0.0020311089520432
3,0.1,-7.999999999999986,-39.0,B,True,16.970562748477143,270.0,67.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.9252562980993192,0.0023132833851707,-0.0007703232710538,-0.0015471638126783
3,0.1,-7.999999999999986,-21.0,B,True,16.970562748477143,90.0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-21.0,6.880319606540077e-05,-0.8937204159421569,-0.002280760462869,0.0007564593389639,0.0015276913368795
3,0.1,-7.999999999999986,-21.0,B,True,16.970562748477143,108.0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-21.0,6.880319606540077e-05,-0.8840406287912893,-0.0023045555334216,0.0013797847182709,0.0009274895683753
3,0.1,-7.999999999999986,-21.0,B,True,16.970562748477143,126.0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-21.0,6.880319606540077e-05,-0.9561210927547767,-0.0020914095161831,0.0018826467233491,0.0002088304009153
