magnet_depth,ratio,halbach_side,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.2713333333333333,B,16.970562748477143,126.0,31.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.2086532969439247,-0.0009328315298449217,6.752906750738011e-05,0.0008651557612003674
0.1,0.2713333333333333,B,16.970562748477143,144.0,36.0,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1945936920275637,-0.001027969618676629,0.0003953274447897728,0.0006322882264095411
0.1,0.2713333333333333,B,16.970562748477143,162.0,40.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1920388116612377,-0.001025411981763924,0.0006700169789749421,0.0003552746931559131
0.1,0.2713333333333333,B,16.970562748477143,180.0,45.0,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.2073138722940085,-0.0009234067846214212,0.0008804574787461833,4.303345966203802e-05
0.1,0.2713333333333333,B,16.970562748477143,198.0,49.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.2045552596399491,-0.0007165090580992334,0.001007289039354953,-0.0002904767782892683
0.1,0.2713333333333333,B,16.970562748477143,216.0,54.0,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1864717057368713,-0.0004518839064411712,0.001037174683556938,-0.0005849915838444757
0.1,0.2713333333333333,B,16.970562748477143,234.0,58.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.2044604766668228,-0.0001506334898749837,0.0009691118335669287,-0.0008184615920670458
0.1,0.2713333333333333,B,16.970562748477143,252.0,63.0,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.2073523355994633,0.0001802491219458908,0.0007951838932368728,-0.0009756189062783869
0.1,0.2713333333333333,B,16.970562748477143,270.0,67.5,0,0.1,0.2713333333333333,2.52555349013779e-06,-0.1854454519014172,0.0004935698824834644,0.0005442038430116464,-0.001038138337590123
0.1,0.206,B,16.970562748477143,90.0,22.5,0,0.1,0.206,2.525800360141944e-06,-0.2155249486609418,-0.0005124009347868909,-0.000535943573477609,0.001048898730983265
0.1,0.206,B,16.970562748477143,108.0,27.0,0,0.1,0.206,2.525800360141944e-06,-0.1969748482348437,-0.0007794549659602903,-0.0002307507917276849,0.001010346834421917
0.1,0.206,B,16.970562748477143,126.0,31.5,0,0.1,0.206,2.525800360141944e-06,-0.2122566372029989,-0.0009622657711870343,9.304676542448114e-05,0.0008690647921888343
0.1,0.206,B,16.970562748477143,144.0,36.0,0,0.1,0.206,2.525800360141944e-06,-0.2249990895947623,-0.001043893129807772,0.0004121785731182517,0.0006312082442386746
0.1,0.206,B,16.970562748477143,162.0,40.5,0,0.1,0.206,2.525800360141944e-06,-0.1945282053578356,-0.001031994305388737,0.0006962960329193963,0.0003354408450749705
0.1,0.206,B,16.970562748477143,180.0,45.0,0,0.1,0.206,2.525800360141944e-06,-0.2101874030596459,-0.0009286082107934098,0.0009119851434986902,1.672192650543087e-05
0.1,0.206,B,16.970562748477143,198.0,49.5,0,0.1,0.206,2.525800360141944e-06,-0.2222865639787054,-0.0007188703685718851,0.001027913797227965,-0.0003086007390247696
0.1,0.206,B,16.970562748477143,216.0,54.0,0,0.1,0.206,2.525800360141944e-06,-0.2014113617510898,-0.0004366752632506586,0.001044237368924262,-0.0006070807314077127
